exon_gencodeID	chr	start	end	strand	gencodeID	gene_Symbol	logFC	t	P.Value	adj.P.Val
ENSMUSE00001299427.1	chr4	21,860,820	21,860,991	+	ENSMUSG00000028248.15	Pnisr	0.475558665	8.720078130	0.0000000001	0.000011574
ENSMUSE00000842186.1	chr4	21,860,820	21,860,886	+	ENSMUSG00000028248.15	Pnisr	0.486182995	8.758702294	0.0000000001	0.000011574
ENSMUSE00001269188.1	chr4	21,861,987	21,862,177	+	ENSMUSG00000028248.15	Pnisr	0.514616927	8.544531678	0.0000000001	0.000013228
ENSMUSE00000832840.1	chr4	21,860,878	21,860,991	+	ENSMUSG00000028248.15	Pnisr	0.466739996	8.157321218	0.0000000005	0.000020091
ENSMUSE00001225005.1	chr13	80,890,534	80,890,790	+	ENSMUSG00000074794.10	Arrdc3	0.653079938	8.094068260	0.0000000006	0.000020091
ENSMUSE00000864409.1	chr13	80,891,450	80,891,642	+	ENSMUSG00000074794.10	Arrdc3	0.633591693	8.199785094	0.0000000004	0.000020091
ENSMUSE00001301205.1	chr13	80,891,488	80,891,642	+	ENSMUSG00000074794.10	Arrdc3	0.635210410	8.209282269	0.0000000004	0.000020091
ENSMUSE00000848526.1	chr13	80,890,518	80,890,790	+	ENSMUSG00000074794.10	Arrdc3	0.654192545	8.103812444	0.0000000005	0.000020091
ENSMUSE00001214336.1	chr4	21,865,877	21,866,014	+	ENSMUSG00000028248.15	Pnisr	0.502594252	7.996884505	0.0000000007	0.000021796
ENSMUSE00000828580.1	chr4	21,861,987	21,862,123	+	ENSMUSG00000028248.15	Pnisr	0.514285259	8.022111286	0.0000000007	0.000021796
ENSMUSE00000737327.1	chr4	21,874,913	21,875,256	+	ENSMUSG00000028248.15	Pnisr	0.489738189	7.931288517	0.0000000009	0.000022085
ENSMUSE00000864108.1	chr13	80,893,370	80,896,035	+	ENSMUSG00000074794.10	Arrdc3	0.632479307	7.909220256	0.0000000010	0.000022085
ENSMUSE00000641024.3	chr13	80,893,370	80,896,042	+	ENSMUSG00000074794.10	Arrdc3	0.632479307	7.909220256	0.0000000010	0.000022085
ENSMUSE00000344416.2	chr4	21,873,586	21,874,672	+	ENSMUSG00000028248.15	Pnisr	0.419253902	7.785768596	0.0000000015	0.000028745
ENSMUSE00000862058.1	chr13	80,893,370	80,894,320	+	ENSMUSG00000074794.10	Arrdc3	0.645306688	7.780270653	0.0000000015	0.000028745
ENSMUSE00001393597.1	chr8	122,931,509	122,932,058	-	ENSMUSG00000035569.17	Ankrd11	0.914114391	7.722549210	0.0000000018	0.000032345
ENSMUSE00001269268.1	chr4	21,859,084	21,859,307	+	ENSMUSG00000028248.15	Pnisr	0.442331954	7.534536085	0.0000000032	0.000041147
ENSMUSE00000809769.1	chr4	21,859,084	21,859,202	+	ENSMUSG00000028248.15	Pnisr	0.424737721	7.532358079	0.0000000033	0.000041147
ENSMUSE00000824568.1	chr4	21,861,987	21,862,043	+	ENSMUSG00000028248.15	Pnisr	0.502660612	7.568670633	0.0000000029	0.000041147
ENSMUSE00000843725.1	chr4	21,858,999	21,859,307	+	ENSMUSG00000028248.15	Pnisr	0.443443853	7.560756789	0.0000000030	0.000041147
ENSMUSE00000787933.1	chr4	21,873,589	21,873,864	+	ENSMUSG00000028248.15	Pnisr	0.414979303	7.544145716	0.0000000031	0.000041147
ENSMUSE00000867251.1	chr13	80,883,384	80,883,929	+	ENSMUSG00000074794.10	Arrdc3	0.620623193	7.568741921	0.0000000029	0.000041147
ENSMUSE00000641035.2	chr13	80,883,410	80,883,929	+	ENSMUSG00000074794.10	Arrdc3	0.620623193	7.568741921	0.0000000029	0.000041147
ENSMUSE00001315200.1	chr4	21,873,586	21,873,755	+	ENSMUSG00000028248.15	Pnisr	0.406268242	7.500364711	0.0000000036	0.000043653
ENSMUSE00000806850.1	chr4	21,858,726	21,859,307	+	ENSMUSG00000028248.15	Pnisr	0.431724094	7.482835088	0.0000000038	0.000043653
ENSMUSE00001229418.1	chr13	80,891,062	80,891,224	+	ENSMUSG00000074794.10	Arrdc3	0.593243743	7.475290103	0.0000000039	0.000043653
ENSMUSE00000852991.1	chr13	80,891,062	80,891,252	+	ENSMUSG00000074794.10	Arrdc3	0.592363010	7.451283454	0.0000000042	0.000045379
ENSMUSE00001036008.1	chr4	21,869,516	21,869,615	+	ENSMUSG00000028248.15	Pnisr	0.480189722	7.371350821	0.0000000054	0.000056476
ENSMUSE00001436138.1	chr15	42,633,306	42,634,250	-	ENSMUSG00000022309.9	Angpt1	1.192544973	7.351916034	0.0000000058	0.000058023
ENSMUSE00000633260.2	chr4	21,873,586	21,876,467	+	ENSMUSG00000028248.15	Pnisr	0.369009310	7.241349699	0.0000000082	0.000077326
ENSMUSE00000750190.1	chr4	127,027,397	127,028,015	+	ENSMUSG00000028820.13	Sfpq	0.371606429	7.212220888	0.0000000090	0.000082241
ENSMUSE00000801138.1	chr4	21,857,180	21,860,468	+	ENSMUSG00000028248.15	Pnisr	0.382301075	7.126429429	0.0000000119	0.000105032
ENSMUSE00001285957.1	chr4	127,027,268	127,027,316	+	ENSMUSG00000028820.13	Sfpq	0.392316803	7.110372485	0.0000000126	0.000107340
ENSMUSE00001230199.1	chr13	80,890,096	80,890,198	+	ENSMUSG00000074794.10	Arrdc3	0.643893951	6.916815094	0.0000000234	0.000194467
ENSMUSE00000853479.1	chr13	80,890,104	80,890,198	+	ENSMUSG00000074794.10	Arrdc3	0.642799594	6.898085526	0.0000000249	0.000200842
ENSMUSE00000528237.5	chr5	57,728,114	57,729,465	+	ENSMUSG00000029108.14	Pcdh7	0.926050535	6.876543287	0.0000000267	0.000203971
ENSMUSE00001353597.1	chr5	129,542,039	129,542,118	+	ENSMUSG00000029439.14	Sfswap	0.254026841	6.879177868	0.0000000264	0.000203971
ENSMUSE00000465777.2	chr5	129,542,039	129,542,132	+	ENSMUSG00000029439.14	Sfswap	0.256696127	6.863070261	0.0000000278	0.000207576
ENSMUSE00000785339.2	chr2	4,166,802	4,171,425	+	ENSMUSG00000026657.17	Frmd4a	0.460973288	6.836604071	0.0000000303	0.000220446
ENSMUSE00000724309.1	chr4	127,026,143	127,026,614	+	ENSMUSG00000028820.13	Sfpq	0.386535123	6.781839055	0.0000000362	0.000256707
ENSMUSE00000738850.1	chr17	6,124,657	6,124,710	+	ENSMUSG00000034377.10	Tulp4	0.492181684	6.770185927	0.0000000376	0.000260216
ENSMUSE00001308272.1	chr4	21,857,180	21,857,368	+	ENSMUSG00000028248.15	Pnisr	0.456866514	6.674504399	0.0000000512	0.000346395
ENSMUSE00000806792.1	chr4	127,026,445	127,026,886	+	ENSMUSG00000028820.13	Sfpq	0.381555064	6.649853815	0.0000000555	0.000366654
ENSMUSE00000728860.1	chr4	127,027,397	127,027,549	+	ENSMUSG00000028820.13	Sfpq	0.370861439	6.605540701	0.0000000640	0.000404856
ENSMUSE00000842693.1	chr4	127,025,956	127,026,051	+	ENSMUSG00000028820.13	Sfpq	0.383686829	6.560332591	0.0000000741	0.000458779
ENSMUSE00001241725.1	chr4	127,027,397	127,027,518	+	ENSMUSG00000028820.13	Sfpq	0.370203659	6.552963390	0.0000000759	0.000460084
ENSMUSE00000743126.1	chr4	127,025,924	127,026,051	+	ENSMUSG00000028820.13	Sfpq	0.378567791	6.543885963	0.0000000782	0.000464158
ENSMUSE00000639805.2	chr2	154,524,514	154,526,413	+	ENSMUSG00000038533.15	Cbfa2t2	1.012390810	6.534239050	0.0000000807	0.000469331
ENSMUSE00001222131.1	chr4	127,026,143	127,026,227	+	ENSMUSG00000028820.13	Sfpq	0.382275984	6.522026377	0.0000000840	0.000469515
ENSMUSE00000850605.1	chr13	80,887,406	80,889,643	+	ENSMUSG00000074794.10	Arrdc3	0.618344869	6.527047343	0.0000000826	0.000469515
