jxn_ID	chr	start	end	strand	gencodeID	inGencode	inGencodeStart	inGencodeEnd	Class	isFusion	logFC	t	P.Value	adj.P.Val
chr8:94173191-94173335(+)	chr8	94,173,191	94,173,335	+	ENSMUSG00000031762.7	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.512064671	8.437619318	0.000000000001	0.000000166
chr7:141321174-141321925(-)	chr7	141,321,174	141,321,925	-	ENSMUSG00000058886.9	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.319924616	8.134217335	0.000000000004	0.000000258
chr8:94172874-94173126(+)	chr8	94,172,874	94,173,126	+	ENSMUSG00000031762.7	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.491276490	8.101246315	0.000000000004	0.000000258
chr8:94179887-94180101(+)	chr8	94,179,887	94,180,101	+	ENSMUSG00000031765.8	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.466734859	7.975417585	0.000000000008	0.000000343
chr7:141314987-141321109(-)	chr7	141,314,987	141,321,109	-	ENSMUSG00000058886.9	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.294007850	7.886154935	0.000000000012	0.000000412
chr4:129727670-129730200(-)	chr4	129,727,670	129,730,200	-	ENSMUSG00000028790.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.168446643	-7.710861691	0.000000000026	0.000000763
chr11:98756174-98756922(+)	chr11	98,756,174	98,756,922	+	ENSMUSG00000058756.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.162717756	7.655261498	0.000000000033	0.000000842
chr16:73897206-73898911(-)	chr16	73,897,206	73,898,911	-	ENSMUSG00000052516.19	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.612380290	-7.570461431	0.000000000049	0.000001082
chr2:25061137-25061261(+)	chr2	25,061,137	25,061,261	+	ENSMUSG00000006476.19	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.193622625	7.527824735	0.000000000059	0.000001087
chrX:74338945-74339069(+)	chrX	74,338,945	74,339,069	+	ENSMUSG00000031398.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.358933297	-7.520132003	0.000000000062	0.000001087
chrX:74339135-74339241(+)	chrX	74,339,135	74,339,241	+	ENSMUSG00000031398.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.367824743	-7.477239592	0.000000000075	0.000001200
chr11:50230864-50230960(+)	chr11	50,230,864	50,230,960	+	ENSMUSG00000036620.14	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.218172304	7.440507383	0.000000000088	0.000001299
chr8:94179337-94179822(+)	chr8	94,179,337	94,179,822	+	ENSMUSG00000031765.8	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.409042792	7.400273782	0.000000000106	0.000001438
chr15:3275778-3277156(+)	chr15	3,275,778	3,277,156	+	ENSMUSG00000064373.12	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.387564309	7.354664741	0.000000000130	0.000001531
chr9:72746478-72747125(+)	chr9	72,746,478	72,747,125	+	ENSMUSG00000032216.15	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.198690279	-7.354803432	0.000000000130	0.000001531
chr11:98753637-98756107(+)	chr11	98,753,637	98,756,107	+	ENSMUSG00000058756.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.175767378	7.259398197	0.000000000200	0.000001857
chr11:5982757-5987056(-)	chr11	5,982,757	5,987,056	-	ENSMUSG00000057897.14	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.247276193	7.275380936	0.000000000186	0.000001857
chr16:45407310-45408855(-)	chr16	45,407,310	45,408,855	-	ENSMUSG00000022661.14	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.507629246	7.263518343	0.000000000196	0.000001857
chr2:152891553-152892112(+)	chr2	152,891,553	152,892,112	+	ENSMUSG00000027469.16	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.371337738	-7.282125871	0.000000000180	0.000001857
chr7:141322064-141322461(-)	chr7	141,322,064	141,322,461	-	ENSMUSG00000058886.9	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.287160040	7.229302662	0.000000000229	0.000002019
chr6:30745182-30745829(+)	chr6	30,745,182	30,745,829	+	ENSMUSG00000051855.15	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.375009235	-7.169411716	0.000000000299	0.000002517
chr2:25059072-25059604(+)	chr2	25,059,072	25,059,604	+	ENSMUSG00000006476.19	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.230395567	7.143667796	0.000000000336	0.000002646
chr8:71649921-71650526(-)	chr8	71,649,921	71,650,526	-	ENSMUSG00000034799.16	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.321258190	-7.138009978	0.000000000344	0.000002646
chr2:25059693-25060138(+)	chr2	25,059,693	25,060,138	+	ENSMUSG00000006476.19	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.198150607	7.121700257	0.000000000371	0.000002728
chr2:25060561-25060691(+)	chr2	25,060,561	25,060,691	+	ENSMUSG00000006476.19	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.189507425	7.103397640	0.000000000402	0.000002843
chr13:73505583-73509995(+)	chr13	73,505,583	73,509,995	+	ENSMUSG00000021608.15	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.185980261	7.033894485	0.000000000549	0.000003731
chr2:152888194-152889145(+)	chr2	152,888,194	152,889,145	+	ENSMUSG00000027469.16	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.349033428	-7.006825736	0.000000000620	0.000004055
chr2:25060724-25060813(+)	chr2	25,060,724	25,060,813	+	ENSMUSG00000006476.19	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.178998708	6.990274560	0.000000000667	0.000004211
chr11:98757022-98760875(+)	chr11	98,757,022	98,760,875	+	ENSMUSG00000058756.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.146746521	6.905642363	0.000000000973	0.000005075
chr15:76662671-76662781(+)	chr15	76,662,671	76,662,781	+	ENSMUSG00000004187.11	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.359599419	6.905392067	0.000000000974	0.000005075
chr2:148872042-148872816(-)	chr2	148,872,042	148,872,816	-	ENSMUSG00000027447.6	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.231602681	6.921623148	0.000000000907	0.000005075
chr4:129720105-129720651(-)	chr4	129,720,105	129,720,651	-	ENSMUSG00000028790.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.160346358	-6.904896025	0.000000000977	0.000005075
chr5:138278536-138278838(-)	chr5	138,278,536	138,278,838	-	ENSMUSG00000106247.1	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.298482853	-6.933570996	0.000000000859	0.000005075
chr7:141313347-141314333(-)	chr7	141,313,347	141,314,333	-	ENSMUSG00000058886.9	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.289742522	6.914396319	0.000000000936	0.000005075
chr11:99010137-99010473(-)	chr11	99,010,137	99,010,473	-	ENSMUSG00000020914.17	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.497749311	-6.898258990	0.000000001006	0.000005078
chr2:148872929-148875152(-)	chr2	148,872,929	148,875,152	-	ENSMUSG00000027447.6	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.238967923	6.853957616	0.000000001225	0.000005850
chr4:129725721-129727554(-)	chr4	129,725,721	129,727,554	-	ENSMUSG00000028790.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.160296997	-6.858731696	0.000000001199	0.000005850
chr11:83487412-83488924(+)	chr11	83,487,412	83,488,924	+	ENSMUSG00000020680.15	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.245379602	-6.787175338	0.000000001648	0.000007129
chr7:141314461-141314861(-)	chr7	141,314,461	141,314,861	-	ENSMUSG00000058886.9	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.285061426	6.801095917	0.000000001549	0.000007129
chrX:151857912-151859454(+)	chrX	151,857,912	151,859,454	+	ENSMUSG00000025261.18	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.844260117	-6.789077343	0.000000001634	0.000007129
chrX:151917652-151918380(+)	chrX	151,917,652	151,918,380	+	ENSMUSG00000025261.18	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.269027854	-6.786317871	0.000000001654	0.000007129
chr13:98316297-98316624(-)	chr13	98,316,297	98,316,624	-	ENSMUSG00000021660.14	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.480176131	6.779611824	0.000000001704	0.000007169
chr15:3277273-3279101(+)	chr15	3,277,273	3,279,101	+	ENSMUSG00000064373.12	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.351072767	6.769704616	0.000000001781	0.000007317
chr6:23045750-23049530(+)	chr6	23,045,750	23,049,530	+	ENSMUSG00000068748.7	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.233898848	-6.731165068	0.000000002112	0.000008482
chr15:82350370-82354080(-)	chr15	82,350,370	82,354,080	-	ENSMUSG00000022450.6	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.453127224	6.704940837	0.000000002372	0.000009125
chr5:134243598-134243900(-)	chr5	134,243,598	134,243,900	-	ENSMUSG00000060261.15	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.356502309	-6.702535716	0.000000002398	0.000009125
chr7:126929297-126930632(+)	chr7	126,929,297	126,930,632	+	ENSMUSG00000030685.5	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.189494251	6.699753992	0.000000002427	0.000009125
chr13:73513960-73514353(+)	chr13	73,513,960	73,514,353	+	ENSMUSG00000021608.15	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.185634596	6.677895944	0.000000002674	0.000009841
chr11:99003706-99003825(-)	chr11	99,003,706	99,003,825	-	ENSMUSG00000020914.17	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.374994998	-6.670804486	0.000000002759	0.000009947
chr9:72743635-72746406(+)	chr9	72,743,635	72,746,406	+	ENSMUSG00000032216.15	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.190309344	-6.645150870	0.000000003090	0.000010917
chr11:98763066-98763528(+)	chr11	98,763,066	98,763,528	+	ENSMUSG00000058756.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.148623808	6.629862099	0.000000003305	0.000011079
chr11:98996874-98997828(-)	chr11	98,996,874	98,997,828	-	ENSMUSG00000020914.17	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.382406705	-6.634856182	0.000000003233	0.000011079
chr6:72361538-72362275(-)	chr6	72,361,538	72,362,275	-	ENSMUSG00000055850.12	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.487379143	6.628583878	0.000000003324	0.000011079
chr5:138275623-138275706(-)	chr5	138,275,623	138,275,706	-	ENSMUSG00000106247.1	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.288473669	-6.622793482	0.000000003410	0.000011156
chr11:98993934-98994206(-)	chr11	98,993,934	98,994,206	-	ENSMUSG00000020914.17	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.364457089	-6.611080936	0.000000003590	0.000011533
chrX:74339624-74339774(+)	chrX	74,339,624	74,339,774	+	ENSMUSG00000031398.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.354038588	-6.581495149	0.000000004090	0.000012903
chr9:72741686-72742652(+)	chr9	72,741,686	72,742,652	+	ENSMUSG00000032216.15	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.201467283	-6.562858492	0.000000004440	0.000013760
chrX:74341011-74341535(+)	chrX	74,341,011	74,341,535	+	ENSMUSG00000031398.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.409255539	-6.553981509	0.000000004616	0.000014061
chr19:46323481-46323913(-)	chr19	46,323,481	46,323,913	-	ENSMUSG00000037126.16	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.182056447	6.542468624	0.000000004856	0.000014540
chr14:65815300-65816599(+)	chr14	65,815,300	65,816,599	+	ENSMUSG00000022033.9	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.320848287	-6.519762866	0.000000005365	0.000015538
chr6:29397585-29399200(+)	chr6	29,397,585	29,399,200	+	ENSMUSG00000029769.16	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.272848359	6.523462247	0.000000005279	0.000015538
chr2:25056135-25057100(+)	chr2	25,056,135	25,057,100	+	ENSMUSG00000006476.19	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.203996209	6.513610844	0.000000005512	0.000015541
chr8:71649636-71649853(-)	chr8	71,649,636	71,649,853	-	ENSMUSG00000034799.16	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.266842645	-6.512374158	0.000000005542	0.000015541
chr1:82735506-82741817(+)	chr1	82,735,506	82,741,817	+	ENSMUSG00000026150.14	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.153342397	6.506801079	0.000000005679	0.000015677
chr15:89165828-89165905(-)	chr15	89,165,828	89,165,905	-	ENSMUSG00000036606.17	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.201457079	-6.497560250	0.000000005914	0.000016074
chr6:23029353-23030589(+)	chr6	23,029,353	23,030,589	+	ENSMUSG00000068748.7	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.218586389	-6.470489422	0.000000006659	0.000017825
chrX:136735621-136739804(-)	chrX	136,735,621	136,739,804	-	ENSMUSG00000031422.16	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.294731357	-6.466933141	0.000000006764	0.000017835
chr11:83497295-83497893(+)	chr11	83,497,295	83,497,893	+	ENSMUSG00000020680.15	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.294896155	-6.460070116	0.000000006970	0.000017989
chr11:98997918-98999161(-)	chr11	98,997,918	98,999,161	-	ENSMUSG00000020914.17	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.343944395	-6.458255426	0.000000007026	0.000017989
chr11:98764404-98768273(+)	chr11	98,764,404	98,768,273	+	ENSMUSG00000058756.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.293584561	6.440884049	0.000000007581	0.000019132
chr1:178331260-178331348(-)	chr1	178,331,260	178,331,348	-	ENSMUSG00000039630.10	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.170979719	-6.421920913	0.000000008236	0.000019818
chr11:99003068-99003506(-)	chr11	99,003,068	99,003,506	-	ENSMUSG00000020914.17	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.477609844	-6.428991418	0.000000007985	0.000019818
chr2:152884311-152885010(+)	chr2	152,884,311	152,885,010	+	ENSMUSG00000027469.16	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.380996483	-6.420120980	0.000000008301	0.000019818
chrX:74333674-74333745(+)	chrX	74,333,674	74,333,745	+	ENSMUSG00000031398.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.501178589	-6.424410724	0.000000008147	0.000019818
chr9:108024449-108040904(+)	chr9	108,024,449	108,040,904	+	ENSMUSG00000093456.7	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.578259933	6.414436702	0.000000008510	0.000020046
chr11:109434052-109436562(+)	chr11	109,434,052	109,436,562	+	ENSMUSG00000020610.17	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.348064775	6.406979491	0.000000008792	0.000020437
chr11:98761925-98762920(+)	chr11	98,761,925	98,762,920	+	ENSMUSG00000058756.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.145408943	6.401427235	0.000000009008	0.000020482
chr11:101571976-101572461(+)	chr11	101,571,976	101,572,461	+	ENSMUSG00000017119.19	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.333169518	-6.400536187	0.000000009043	0.000020482
chr7:141324178-141327278(-)	chr7	141,324,178	141,327,278	-	ENSMUSG00000058886.9	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.362433165	6.378984672	0.000000009935	0.000021958
chr9:107800772-107833433(-)	chr9	107,800,772	107,833,433	-	ENSMUSG00000032582.14	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.268509785	-6.378797233	0.000000009943	0.000021958
chrX:74341747-74341920(+)	chrX	74,341,747	74,341,920	+	ENSMUSG00000031398.13	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.434850544	-6.375849719	0.000000010072	0.000021967
chr11:99000850-99000973(-)	chr11	99,000,850	99,000,973	-	ENSMUSG00000020914.17	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.335592756	-6.368277022	0.000000010410	0.000022158
chr7:126942341-126944884(+)	chr7	126,942,341	126,944,884	+	ENSMUSG00000030685.5	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.201380185	6.370059638	0.000000010329	0.000022158
chr11:99009698-99009792(-)	chr11	99,009,698	99,009,792	-	ENSMUSG00000020914.17	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.413995278	-6.362978049	0.000000010653	0.000022406
chr13:73503094-73505501(+)	chr13	73,503,094	73,505,501	+	ENSMUSG00000021608.15	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.171402700	6.343349579	0.000000011604	0.000022529
chr19:58975207-58990188(-)	chr19	58,975,207	58,990,188	-	ENSMUSG00000041362.17	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.601991169	-6.343931701	0.000000011575	0.000022529
chr19:58990380-58995017(-)	chr19	58,990,380	58,995,017	-	ENSMUSG00000041362.17	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.596892392	-6.347344375	0.000000011404	0.000022529
chr5:138276337-138276583(-)	chr5	138,276,337	138,276,583	-	ENSMUSG00000029510.15	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.279567683	-6.358300076	0.000000010872	0.000022529
chr7:141297615-141310761(-)	chr7	141,297,615	141,310,761	-	ENSMUSG00000058886.9	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.446878005	6.348224381	0.000000011360	0.000022529
chr7:141322607-141322889(-)	chr7	141,322,607	141,322,889	-	ENSMUSG00000058886.9	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.243092995	6.356224952	0.000000010971	0.000022529
chr7:141323018-141324081(-)	chr7	141,323,018	141,324,081	-	ENSMUSG00000058886.9	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.254297801	6.351753213	0.000000011187	0.000022529
chr11:99004342-99006002(-)	chr11	99,004,342	99,006,002	-	ENSMUSG00000020914.17	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.403478431	-6.336270868	0.000000011968	0.000022649
chr2:25061363-25061492(+)	chr2	25,061,363	25,061,492	+	ENSMUSG00000006476.19	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.168118329	6.334997083	0.000000012034	0.000022649
chr7:141311008-141313219(-)	chr7	141,311,008	141,313,219	-	ENSMUSG00000058886.9	FALSE	FALSE	TRUE	AltStartEnd	FALSE	0.272896772	6.334675762	0.000000012051	0.000022649
chr6:51466704-51466905(-)	chr6	51,466,704	51,466,905	-	ENSMUSG00000004980.16	FALSE	FALSE	TRUE	AltStartEnd	FALSE	-0.192910451	-6.289804545	0.000000014648	0.000027240
